lonnrot_id	teos_wikidata_id	teos_nimi	tekija_etunimi	tekija_sukunimi	pseudonyymi	tekija_wikidata_id	vuosi	kokoteksti_linkki	genre	kokoomateoksen nimi (jos ei alkuperäinen julkaisu)	Alunperin kokoomateoksessa
242	na	Laara : kuvaus elämästä	Heikki	Kauppis		Q5486613	1893	http://www.lonnrot.net/kirjat/0242.zip	romaani		
243	na	Pikakuvia 1867 katovuodesta ja sen seurauksista	Pietari	Päivärinta		Q7192746	1893	http://www.lonnrot.net/kirjat/0243.zip	romaani		
244	Q64415418	Kirottua työtä : kuvaus Savon kansan elämästä	Heikki	Kauppis		Q5486613	1891	http://www.lonnrot.net/kirjat/0244.zip	romaani		
245	na	Aliina	Heikki	Kauppis		Q5486613	1896	http://www.lonnrot.net/kirjat/0245.zip	romaani		
246	na	Prosper Mérimée	Kasimir	Leino		Q5945346	1895	http://www.lonnrot.net/kirjat/0246.zip	romaani		
250	na	Sointula	Arvid	Järnefelt		Q717186	1924	http://www.lonnrot.net/kirjat/0250.zip	draama		
252	na	Dityrambeja	Aarni	Kouta		Q5484482	1907	http://www.lonnrot.net/kirjat/0252.zip	lyriikka		
258	na	Vieraita odottaessa : huvinäytelmä yhdessä näytöksessä	Robert	Kiljander		Q5908970	1897	http://www.lonnrot.net/kirjat/0258.zip	draama		
259	na	Amalia ystävämme: yksinäytöksinen huvinäytelmä	Robert	Kiljander		Q5908970	1887	http://www.lonnrot.net/kirjat/0259.zip	draama		
260	na	Sanny Kortmanin koulu : huvinäytelmä 3:ssa näytöksessä. 	Robert	Kiljander		Q5908970	1902	http://www.lonnrot.net/kirjat/0260.zip	draama		
261	na	Postikonttorissa : pikkukaupungin kuvaus yhdessä näytöksessä.	Robert	Kiljander		Q5908970	1887	http://www.lonnrot.net/kirjat/0261.zip	draama		
262	na	Mestarin nuuskarasia : yksinäytöksinen huvinäytelmä	Robert	Kiljander		Q5908970	1887	http://www.lonnrot.net/kirjat/0262.zip	draama		
264	na	Pukkisen pidot : kaksinäytöksinen huvinäytelmä	Robert	Kiljander		Q5908970	1887	http://www.lonnrot.net/kirjat/0264.zip	draama		
265	na	Pahassa pulassa : yksinäytöksinen huvinäytelmä	Robert	Kiljander		Q5908970	1889	http://www.lonnrot.net/kirjat/0265.zip	draama		
266	na	Kumarrusmatka : huvinäytelmä kolmessa näytöksessä	Robert	Kiljander		Q5908970	1894	http://www.lonnrot.net/kirjat/0266.zip	draama		
267	na	Kihlajaiskemut : näytelmä 4:ssä näytöksessä. Näytelmäkirjallisuutta n:o 105	Robert	Kiljander		Q5908970	1909	http://www.lonnrot.net/kirjat/0267.zip	draama		
268	na	Sulhasen luona : yksinäytöksinen laulunsekainen huvinäytelmä. Näytelmäkirjasto n:o 60.	Robert	Kiljander		Q5908970	1910	http://www.lonnrot.net/kirjat/0268.zip	draama		
278	na	Pikku ihmisiä	Teuvo	Pakkala		Q1347723	1913	http://www.lonnrot.net/kirjat/0278.zip	novelleja		
279	Q64415460	Vaaralla	Teuvo	Pakkala		Q1347723	1891	http://www.lonnrot.net/kirjat/0279.zip	romaani		
281	na	Pieni elämäntarina	Teuvo	Pakkala		Q1347723	1902	http://www.lonnrot.net/kirjat/0281.zip	romaani		
